,age,net
1,53,83.98333333
2,54,74.3
3,55,75.15
4,56,74.21666667
5,57,74.25
6,58,NA
7,59,NA
8,52,82.66666667
9,53,80.03333333
10,54,88.11666667
11,55,80.93333333
12,56,88.1
13,58,NA
14,59,NA
15,51,89.38333333
16,52,89.23333333
17,53,89.71666667
18,54,88.68333333
19,55,97.55
20,56,85.05
21,57,NA
22,52,NA
23,53,98.45
24,54,101.5833333
25,55,109.05
26,56,100.05
27,58,106.1
28,61,NA
29,51,76.23333333
30,52,71.28333333
31,53,76.86666667
32,54,68.53333333
33,56,82.01666667
34,57,83.78333333
35,58,NA
36,54,NA
37,55,72.86666667
38,58,77.5
39,59,80.93333333
40,61,78.31666667
41,62,NA
42,63,NA
43,51,96.26666667
44,52,99.05
45,53,104.3833333
46,54,107.9
47,55,100.5
48,57,NA
49,58,NA
50,52,NA
51,53,99.5
52,54,104.1666667
53,55,102.7333333
54,58,111.0833333
55,60,NA
56,61,NA
57,54,NA
58,55,96.48333333
59,56,94.18333333
60,57,94.98333333
61,58,113.2666667
62,61,105.0333333
63,62,NA
64,52,NA
65,54,121
66,55,107.35
67,56,110.6666667
68,57,118.05
69,59,131
70,61,NA
71,52,79.86666667
72,53,83.6
73,54,87.13333333
74,55,97.75
75,56,98.91666667
76,57,NA
77,58,NA
78,51,NA
79,53,67.5
80,54,68.45
81,55,70.18333333
82,56,80.93333333
83,57,71.78333333
84,59,NA
85,53,77.43333333
86,54,82.1
87,55,80.18333333
88,56,79.5
89,57,91.9
90,58,NA
91,59,NA
92,53,98.4
93,54,102.5833333
94,55,97.75
95,56,94.56666667
96,57,89.95
97,58,96.21666667
98,59,97.48333333
99,52,96.8
100,53,88.36666667
101,54,100.1833333
102,55,96.51666667
103,56,98.43333333
104,58,NA
105,59,NA
106,52,98.3
107,53,92.31666667
108,54,89.85
109,55,96.68333333
110,57,92.35
111,59,NA
112,60,NA
113,50,NA
114,52,78.41666667
115,53,110.2333333
116,54,91.78333333
117,55,123.9833333
118,57,95.86666667
119,58,NA
120,50,NA
121,52,96.88333333
122,53,106.1166667
123,54,99.46666667
124,56,103.9166667
125,58,NA
126,59,NA
127,52,NA
128,54,81.9
129,55,86.96666667
130,56,79.86666667
131,58,83.86666667
132,60,NA
133,61,NA
134,50,NA
135,52,104.1166667
136,53,97.48333333
137,54,105.2
138,55,112.8833333
139,56,120.4666667
140,58,NA
141,52,NA
142,53,83
143,54,83.53333333
144,55,82.11666667
145,56,85.95
146,57,92.4
147,58,89.58333333
148,50,NA
149,52,83.23333333
150,53,88.06666667
151,54,84.53333333
152,55,92.18333333
153,56,91.66666667
154,58,NA
155,51,NA
156,53,102.1333333
157,54,101.0833333
158,55,98.16666667
159,56,106.3333333
160,57,105
161,58,110.9833333
162,54,NA
163,55,99.08333333
164,56,103.9333333
165,57,103.8166667
166,58,105.9166667
167,59,111.1666667
168,60,112.9666667
169,51,98.43333333
170,52,109.8333333
171,55,105.7333333
172,56,98.93333333
173,57,94.48333333
174,58,NA
175,59,NA
176,50,NA
177,51,83.41666667
178,52,82.71666667
179,53,84.6
180,54,87.35
181,55,87.76666667
182,58,NA
183,50,91.96666667
184,51,92.3
185,52,92.46666667
186,53,102.5
187,55,105.5333333
188,56,106.1333333
189,57,NA
190,50,72.15
191,51,76.13333333
192,52,77.91666667
193,53,75.1
194,54,74.76666667
195,56,NA
196,57,NA
197,54,NA
198,55,62.71666667
199,56,62.46666667
200,57,61.51666667
201,58,63.28333333
202,59,63.98333333
203,60,64.36666667
204,53,NA
205,55,62.28333333
206,56,63.63333333
207,57,65.96666667
208,58,66.15
209,59,73.48333333
210,60,67.8
211,52,77.31666667
212,53,88
213,54,80.3
214,55,82.8
215,56,84.31666667
216,59,NA
217,60,NA
218,50,NA
219,51,76.06666667
220,52,75.2
221,53,79.53333333
222,55,81.58333333
223,57,80.93333333
224,58,NA
225,54,NA
226,56,90.06666667
227,58,85.71666667
228,59,83.76666667
229,60,83
230,62,NA
231,63,NA
232,52,NA
233,54,70.53333333
234,55,74.01666667
235,56,73.03333333
236,57,80.76666667
237,58,80.76666667
238,60,NA
239,52,NA
240,53,85.75
241,54,85.01666667
242,55,83.91666667
243,56,90.03333333
244,58,89.96666667
245,59,87.15
246,51,NA
247,53,105.75
248,54,103.0166667
249,56,105.4166667
250,57,115.7666667
251,59,NA
252,60,NA
