"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1] 1st Base",0.130438701773333,0.1294525,0.126750228334648,11760.8,0.95,0.0902332,0.170676,NA,NA,NA,NA,NA,NA,NA
"mu[2] 2nd Base",0.247492961266667,0.247127,0.246215784428604,15000,0.95,0.209008,0.286093,NA,NA,NA,NA,NA,NA,NA
"mu[3] 3rd Base",0.251894726733333,0.2510365,0.247649958857897,15000,0.95,0.205073,0.297424,NA,NA,NA,NA,NA,NA,NA
"mu[4] Catcher",0.233670230933333,0.233348,0.232368900262049,15595.3,0.95,0.205765,0.261994,NA,NA,NA,NA,NA,NA,NA
"mu[5] Center Field",0.251873898333333,0.251547,0.251982531077895,15326.8,0.95,0.207362,0.297992,NA,NA,NA,NA,NA,NA,NA
"mu[6] Left Field",0.129512183,0.12855,0.124933532945411,11561.5,0.95,0.0883541,0.17062,NA,NA,NA,NA,NA,NA,NA
"mu[7] Pitcher",0.129424722193333,0.1286355,0.126391265497411,11640.3,0.95,0.089684,0.170818,NA,NA,NA,NA,NA,NA,NA
"mu[8] Right Field",0.243311163333333,0.2425485,0.240602285463963,14395.9,0.95,0.193885,0.294493,NA,NA,NA,NA,NA,NA,NA
"mu[9] Shortstop",0.2668911462,0.266719,0.265002454607451,15000,0.95,0.236508,0.296472,NA,NA,NA,NA,NA,NA,NA
"mu[10] NA",0.2772178488,0.2770425,0.277191894741441,14628.7,0.95,0.247038,0.308202,NA,NA,NA,NA,NA,NA,NA
"mu[11] NA",0.12928744716,0.1282305,0.126368783062896,10679.1,0.95,0.0884151,0.170136,NA,NA,NA,NA,NA,NA,NA
"mu[12] NA",0.249004218,0.2488315,0.249776801689047,15000,0.95,0.218468,0.278328,NA,NA,NA,NA,NA,NA,NA
"mu[13] NA",0.2455424738,0.2450665,0.243371197142334,15000,0.95,0.208723,0.280685,NA,NA,NA,NA,NA,NA,NA
"mu[14] NA",0.2420200234,0.2414915,0.240291477372788,15000,0.95,0.193759,0.293578,NA,NA,NA,NA,NA,NA,NA
"mu[15] NA",0.2484454068,0.2480175,0.249988775693401,14644.1,0.95,0.198901,0.30111,NA,NA,NA,NA,NA,NA,NA
"mu[16] NA",0.227567998066667,0.227485,0.228038576558128,14932.6,0.95,0.195914,0.260942,NA,NA,NA,NA,NA,NA,NA
"mu[17] NA",0.275040830266667,0.274843,0.274099352306991,15000,0.95,0.246257,0.30466,NA,NA,NA,NA,NA,NA,NA
"mu[18] NA",0.2474293888,0.247071,0.24715781939527,15515.1,0.95,0.206331,0.289155,NA,NA,NA,NA,NA,NA,NA
"mu[19] NA",0.278678642,0.2785625,0.279331901933341,15000,0.95,0.249251,0.311295,NA,NA,NA,NA,NA,NA,NA
"mu[20] NA",0.12855313074,0.1274155,0.124928392347429,11875.2,0.95,0.0895817,0.170707,NA,NA,NA,NA,NA,NA,NA
"mu[21] NA",0.237307117333333,0.236973,0.234514198420584,14574.5,0.95,0.20416,0.27167,NA,NA,NA,NA,NA,NA,NA
"mu[22] NA",0.264628151933333,0.2644985,0.265818761957422,15000,0.95,0.229657,0.299904,NA,NA,NA,NA,NA,NA,NA
"mu[23] NA",0.12854695662,0.1276345,0.127546759324198,12428.3,0.95,0.0878678,0.169148,NA,NA,NA,NA,NA,NA,NA
"mu[24] NA",0.132509660886667,0.1317455,0.129823580913366,11497.1,0.95,0.0971453,0.169706,NA,NA,NA,NA,NA,NA,NA
"mu[25] NA",0.244838063,0.24445,0.2425840544802,15000,0.95,0.201277,0.289727,NA,NA,NA,NA,NA,NA,NA
"mu[26] NA",0.242128308933333,0.2418575,0.243815499823304,15000,0.95,0.208943,0.275258,NA,NA,NA,NA,NA,NA,NA
"mu[27] NA",0.13217459152,0.1311195,0.125330381043438,12905.6,0.95,0.0920071,0.173906,NA,NA,NA,NA,NA,NA,NA
"mu[28] NA",0.249781008266667,0.249696,0.249625976981289,15000,0.95,0.218928,0.27922,NA,NA,NA,NA,NA,NA,NA
"mu[29] NA",0.12954784744,0.129017,0.133525099872668,10713.2,0.95,0.0909493,0.172225,NA,NA,NA,NA,NA,NA,NA
"mu[30] NA",0.276234649066667,0.2759675,0.274959260194751,14809,0.95,0.246425,0.308141,NA,NA,NA,NA,NA,NA,NA
"mu[31] NA",0.129578583286667,0.128784,0.12581727867622,11078.3,0.95,0.0900896,0.170658,NA,NA,NA,NA,NA,NA,NA
"mu[32] NA",0.126928452773333,0.1262445,0.12811517469262,12080.6,0.95,0.0929239,0.16383,NA,NA,NA,NA,NA,NA,NA
"mu[33] NA",0.251334033733333,0.251129,0.251990183262057,15000,0.95,0.213211,0.2921,NA,NA,NA,NA,NA,NA,NA
"mu[34] NA",0.240070841533333,0.2393665,0.237777715093504,15000,0.95,0.20218,0.279594,NA,NA,NA,NA,NA,NA,NA
"mu[35] NA",0.129018806213333,0.1281645,0.125013852589729,12291.4,0.95,0.088258,0.169376,NA,NA,NA,NA,NA,NA,NA
"mu[36] NA",0.222206139466667,0.2218855,0.22180081136004,14612.3,0.95,0.188006,0.255426,NA,NA,NA,NA,NA,NA,NA
"mu[37] NA",0.129188727466667,0.128027,0.126485363764716,11754.7,0.95,0.0885547,0.169502,NA,NA,NA,NA,NA,NA,NA
"mu[38] NA",0.236601931933333,0.236273,0.236955667881617,15000,0.95,0.206163,0.268375,NA,NA,NA,NA,NA,NA,NA
"mu[39] NA",0.244335987666667,0.244106,0.243003690824406,15000,0.95,0.200143,0.288996,NA,NA,NA,NA,NA,NA,NA
"mu[40] NA",0.2528644436,0.252751,0.252342402503738,15000,0.95,0.221756,0.281185,NA,NA,NA,NA,NA,NA,NA
"mu[41] NA",0.222252042,0.2216775,0.218613947269159,14573.3,0.95,0.180095,0.268393,NA,NA,NA,NA,NA,NA,NA
"mu[42] NA",0.239204380133333,0.23887,0.23931421095407,15000,0.95,0.197147,0.283954,NA,NA,NA,NA,NA,NA,NA
"mu[43] NA",0.129825317166667,0.128946,0.124608445063995,11740.6,0.95,0.0930993,0.169965,NA,NA,NA,NA,NA,NA,NA
"mu[44] NA",0.12703156842,0.1260055,0.12295041564664,11260,0.95,0.0883655,0.167977,NA,NA,NA,NA,NA,NA,NA
"mu[45] NA",0.127920305366667,0.12691,0.123782296697402,10977.6,0.95,0.0892678,0.169272,NA,NA,NA,NA,NA,NA,NA
