"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-4.00318832833433,-3.98931,-4.01338611507788,1563.3,0.95,-4.92284,-3.15558,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",-2.12362929214157,-2.10547,-2.03416028192327,3041.5,0.95,-2.81081,-1.44226,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-0.961148614017197,-0.94871,-0.96823843848876,3646.8,0.95,-1.60331,-0.334002,NA,NA,NA,NA,NA,NA,NA
"beta[1,1]",-4.90013610877824,-4.88156,-4.86471502151975,1551.3,0.95,-5.9659,-3.93458,NA,NA,NA,NA,NA,NA,NA
"beta[2,1]",0.738526772157169,0.73501,0.755159388870023,4053.1,0.95,0.168135,1.3127,NA,NA,NA,NA,NA,NA,NA
"beta[3,1]",2.99184348730254,2.96956,2.83031224937775,3908.1,0.95,2.13045,4.02671,NA,NA,NA,NA,NA,NA,NA
"beta[1,2]",0.0108440476903559,0.0135717,0.0310102376145597,5001,0.95,-0.382375,0.390885,NA,NA,NA,NA,NA,NA,NA
"beta[2,2]",-5.21063269946011,-5.18426,-5.10677971646368,3315.4,0.95,-6.47584,-4.04363,NA,NA,NA,NA,NA,NA,NA
"beta[3,2]",3.08903236952609,3.05861,3.02189792234583,3061.3,0.95,2.06674,4.09992,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",-4.00318832833433,-3.98931,-4.01338611507788,1563.3,0.95,-4.92284,-3.15558,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",-2.12362929214157,-2.10547,-2.03416028192327,3041.5,0.95,-2.81081,-1.44226,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.961148614017197,-0.94871,-0.96823843848876,3646.8,0.95,-1.60331,-0.334002,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,1]",-4.90013610877824,-4.88156,-4.86471502151975,1551.3,0.95,-5.9659,-3.93458,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,1]",0.738526772157169,0.73501,0.755159388870023,4053.1,0.95,0.168135,1.3127,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,1]",2.99184348730254,2.96956,2.83031224937775,3908.1,0.95,2.13045,4.02671,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,2]",0.0108440476903559,0.0135717,0.0310102376145597,5001,0.95,-0.382375,0.390885,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,2]",-5.21063269946011,-5.18426,-5.10677971646368,3315.4,0.95,-6.47584,-4.04363,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,2]",3.08903236952609,3.05861,3.02189792234583,3061.3,0.95,2.06674,4.09992,NA,NA,NA,NA,NA,NA,NA
