"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.499271261978848,0.499876724195463,0.50145454626898,10000,0.95,0.236902660880068,0.749558940426734,0.5,49.96,NA,NA,NA,NA,NA
"kappa",10.8013736819297,9.30926222376014,6.08796024018751,9695.6,0.95,2.00221508604259,23.5248269350559,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.317966682411426,0.316907344032077,0.314701377505919,10000,0.95,0.227093920921139,0.40355984852361,0.5,0.02,NA,NA,NA,NA,NA
"theta[2]",0.409007198060556,0.40839645204722,0.403627768833935,9937.8,0.95,0.314973931257253,0.496915932941677,0.5,2.87,NA,NA,NA,NA,NA
"theta[3]",0.499937247340679,0.499791116415138,0.503316204103219,10000,0.95,0.403620242776031,0.59379785720243,0.5,49.91,NA,NA,NA,NA,NA
"theta[4]",0.590687088241986,0.590705388827391,0.586588937504852,9550.3,0.95,0.497189150978435,0.6807931128356,0.5,97.12,NA,NA,NA,NA,NA
"theta[5]",0.680728079836611,0.681693729128585,0.693163788765153,10000,0.95,0.592800975614684,0.768720803614553,0.5,99.99,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.0910405156491298,-0.0909577650551313,-0.0914236167305393,9707.1,0.95,-0.214461042073675,0.0320732559785522,0,7.31,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.181970564929253,-0.181677923203484,-0.17617850439779,10000,0.95,-0.302774252608245,-0.0482765190971096,0,0.2,NA,NA,NA,NA,NA
"theta[1]-theta[4]",-0.272720405830559,-0.272789555038545,-0.267047562870512,10000,0.95,-0.40320010663981,-0.147378056829821,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[5]",-0.362761397425185,-0.364078215992454,-0.379347128681182,10000,0.95,-0.493938162726717,-0.239341799406865,0,0,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.0909300492801233,-0.0913409989201208,-0.0924184091943236,10000,0.95,-0.216564970178417,0.0449511234655432,0,8.3,NA,NA,NA,NA,NA
"theta[2]-theta[4]",-0.18167989018143,-0.182524258498436,-0.185068550524543,9458,0.95,-0.31548221616461,-0.0555822326172217,0,0.36,NA,NA,NA,NA,NA
"theta[2]-theta[5]",-0.271720881776055,-0.272937871029899,-0.282006221413478,8160.6,0.95,-0.402430252114779,-0.145003227850056,0,0,NA,NA,NA,NA,NA
"theta[3]-theta[4]",-0.0907498409013064,-0.0914522714729238,-0.0943869564709302,9702.8,0.95,-0.216007363324783,0.0455695046306441,0,9.02,NA,NA,NA,NA,NA
"theta[3]-theta[5]",-0.180790832495932,-0.1807102131379,-0.187892494046207,10000,0.95,-0.319358738152035,-0.062124957037606,0,0.3,NA,NA,NA,NA,NA
"theta[4]-theta[5]",-0.0900409915946256,-0.0900484219664187,-0.0926945258251729,10000,0.95,-0.223189867841569,0.0323808483693012,0,8.43,NA,NA,NA,NA,NA
