"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",-54.1591659940005,-54.2148,-55.0233132250149,11001,0.95,-74.4274,-33.7405,NA,NA,NA,NA,NA,NA,NA
"b[1] None0",3.91512120381711,3.93098,4.10115140499895,11001,0.95,0.313433,7.60842,NA,NA,NA,NA,NA,NA,NA
"b[2] Pregnant1",6.43784335760385,6.43085,6.48290307318561,11001,0.95,2.78979,10.1818,NA,NA,NA,NA,NA,NA,NA
"b[3] Pregnant8",7.7149725933097,7.72011,7.65058012008596,11001,0.95,3.9832,11.3098,NA,NA,NA,NA,NA,NA,NA
"b[4] Virgin1",-2.8354683234915,-2.82065,-2.73024891973321,11524.4,0.95,-6.43829,0.887027,NA,NA,NA,NA,NA,NA,NA
"b[5] Virgin8",-15.2324687637488,-15.2435,-15.0751870814442,10510.1,0.95,-19.2065,-11.6052,NA,NA,NA,NA,NA,NA,NA
"aMet",135.953815853104,136.026,136.554847058254,11001,0.95,111.999,161.352,NA,NA,NA,NA,NA,NA,NA
"aSigma",13.7120695518589,11.8711,9.63255111803908,3212.7,0.95,4.81497,27.6664,NA,NA,NA,NA,NA,NA,NA
"ySigma",10.6242587492046,10.582,10.4068576993268,11001,0.95,9.37685,12.0988,NA,NA,NA,NA,NA,NA,NA
"Pregnant1Pregnant8.v.None0",3.16128677163967,3.16451,3.30763928055125,11001,0.95,-1.766055,8.198165,0,89.4373238796473,-1.5,1.5,3.54513226070357,22.1525315880375,74.302336151259
"Pregnant1Pregnant8None0.v.Virgin1Virgin8",15.0566142618637,15.0651333333333,15.1697380433339,11001,0.95,11.2076536666667,18.740095,0,100,-1.5,1.5,0,0,100
"Pregnant1Pregnant8None0.v.Virgin1",8.85811404173505,8.85894666666667,8.75022445383285,11515.8,0.95,4.13910733333333,13.6206166666667,0,99.9909099172802,-1.5,1.5,0,0.15453140623579,99.8454685937642
"Virgin1.v.Virgin8",12.3970004402572,12.37438,12.2143648236623,11001,0.95,6.45773,18.32411,0,100,-1.5,1.5,0,0.0272702481592546,99.9727297518407
