"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1019.4837474,1011.795,993.869292288816,9137.6,0.95,941.82,1113.37,NA,NA,NA,NA,NA,NA,NA
"beta[1]",7.32552150628,7.730465,0.0451040966028593,6654.4,0.95,0,19.1021,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.754924458,-2.76333,-2.76301852779569,9023.2,0.95,-3.25932,-2.20137,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.667754182786867,0,-0.0159931179598409,11489,0.95,-5.96159,0.000935817,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.330403863678333,0,-0.00729878973561959,10476.6,0.95,-0.141158,3.55456,NA,NA,NA,NA,NA,NA,NA
"sigma",32.4412065933333,32.2357,31.7426757485925,12363.9,0.95,24.3403,40.587,NA,NA,NA,NA,NA,NA,NA
"delta[1]",0.6124,1,0.999884068482839,5993.6,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[2]",1,1,0.9992278092193,0,0.95,1,1,NA,NA,NA,NA,NA,NA,NA
"delta[3]",0.180666666666667,0,0.00124918764635878,11769.1,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"delta[4]",0.217333333333333,0,0.000670467432789146,10493,0.95,0,1,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",2.25501955682667,1.131525,0.492093992163045,2507.6,0.95,0.0107036,8.38356,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.000134359612588,0.0002455905,0.00633734545765985,15000,0.95,-0.127415,0.126764,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.202584641350333,0.211584,-0.267543779537647,984.5,0.95,-11.9138,10.9957,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.9854034416,-0.98841,-0.988299445228759,9023.2,0.95,-1.16582,-0.787403,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.450300665737493,-0.0820111,0.742288015357929,444.7,0.95,-22.0626,25.2431,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-3.82036920955571,0.0837266,-0.716800228597208,116.6,0.95,-25.1678,28.4325,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.433586805933333,0.4308405,0.424251252220456,12363.9,0.95,0.325316,0.542458,NA,NA,NA,NA,NA,NA,NA
"nu",35.554738486,26.3072,12.0392233306562,15000,0.95,2.21531,95.6524,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.40604915226138,1.42007462350977,1.41186050777667,15000,0.95,0.696733720170744,2.09486576245517,NA,NA,NA,NA,NA,NA,NA
