"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",869.296745239333,866.4165,875.103262281876,160.5,0.95,114.345,1579.5,NA,NA,NA,NA,NA,NA,NA
"beta[1]",12.8644786422313,12.823,12.5300340646405,15000,0.95,4.21253,21.4141,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-1.6592933756136,-1.61162,-1.47469782591151,157.9,0.95,-8.85741,5.83862,NA,NA,NA,NA,NA,NA,NA
"beta[3]",122.109314010746,126.383,126.381888965862,158.8,0.95,-628.34,838.217,NA,NA,NA,NA,NA,NA,NA
"sigma",31.6053202866667,31.37565,30.7102616645737,15000,0.95,24.1585,39.6198,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.000677433686886667,-0.000548359,0.00633551171920743,15000,0.95,-0.123967,0.120194,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.234317893541067,0.2335625,0.228225815500336,15000,0.95,0.0767285,0.390043,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.593509356723133,-0.576458,-0.527480080055521,157.9,0.95,-3.16819,2.08841,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.43677036313154,0.4520555,0.452058826976922,158.8,0.95,-2.2475,2.9982,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.422414918333333,0.4193455,0.410452709362573,15000,0.95,0.322886,0.52953,NA,NA,NA,NA,NA,NA,NA
"nu",34.5462582713333,25.7205,11.3299533938939,15000,0.95,2.02894,94.5473,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.38831694253979,1.4102794069056,1.44929260222507,15000,0.95,0.634920407280106,2.06546767246565,NA,NA,NA,NA,NA,NA,NA
