"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1017.2272196,1017.905,1022.41136750806,12474.3,0.95,971.497,1060.21,NA,NA,NA,NA,NA,NA,NA
"beta[1]",7.02501605714993,6.8529,6.37969032847853,11777.5,0.95,-1.06726,15.7051,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.634794752,-2.632285,-2.60159881095077,12219,0.95,-3.08671,-2.19266,NA,NA,NA,NA,NA,NA,NA
"beta[3]",1.40357127197944,1.12842,0.419835144092801,13225.9,0.95,-5.87821,8.83073,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-3.17286785603027,-2.74942,-1.15486607825218,13946.4,0.95,-11.6082,3.47508,NA,NA,NA,NA,NA,NA,NA
"beta[5]",2.33061741684189,1.8766,1.26532209327152,13478.3,0.95,-4.97384,10.7915,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-3.34948516762093,-2.885645,-1.05206741700027,14094,0.95,-12.0151,3.74421,NA,NA,NA,NA,NA,NA,NA
"beta[7]",4.35117800045427,3.836885,2.64365679420622,13497.1,0.95,-3.1782,13.2613,NA,NA,NA,NA,NA,NA,NA
"beta[8]",1.73790710356757,1.376595,0.798204318862112,15000,0.95,-5.1559,9.44509,NA,NA,NA,NA,NA,NA,NA
"beta[9]",2.97092888116207,2.500835,1.29597571448111,14207.4,0.95,-4.43428,11.4184,NA,NA,NA,NA,NA,NA,NA
"beta[10]",0.63821218982722,0.504374,0.240472705269905,14452.5,0.95,-6.48754,8.18646,NA,NA,NA,NA,NA,NA,NA
"beta[11]",-2.84423011851516,-2.41352,-0.751887791965341,14625.5,0.95,-11.055,4.03576,NA,NA,NA,NA,NA,NA,NA
"beta[12]",-7.909769638657,-7.68929,-7.00507429622467,13947.5,0.95,-17.4701,1.41165,NA,NA,NA,NA,NA,NA,NA
"beta[13]",-1.0392778833414,-0.852569,-0.540727717936246,13180.2,0.95,-8.87792,5.9758,NA,NA,NA,NA,NA,NA,NA
"beta[14]",0.427066218129007,0.3444725,0.165696168199602,14390.2,0.95,-7.06638,8.03812,NA,NA,NA,NA,NA,NA,NA
"sigma",30.02766104,29.87205,29.5553077525578,12018.3,0.95,21.9947,38.8412,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.000780697388938,-0.000966032,0.00742856818108661,15000,0.95,-0.117949,0.119523,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.127955979556627,0.124821,0.116201275712932,11777.5,0.95,-0.0194394,0.286058,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-0.942434466466667,-0.9415385,-0.930558678593139,12219,0.95,-1.10408,-0.784289,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.0187591666901379,0.0150817,0.00561132291389149,13225.9,0.95,-0.0785641,0.118025,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.0424063630022069,-0.03674685,-0.0154357927549226,13946.5,0.95,-0.155147,0.0464455,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.031149424877044,0.02508135,0.0169116308186654,13478.3,0.95,-0.066477,0.144232,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",-0.0447669082265527,-0.03856755,-0.014061141591614,14094,0.95,-0.160586,0.0500425,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.05815484466212,0.05128115,0.0353333285577358,13497.1,0.95,-0.0424777,0.177242,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",0.0232276682985659,0.01839865,0.0106684604217976,15000,0.95,-0.0689102,0.126237,NA,NA,NA,NA,NA,NA,NA
"zbeta[9]",0.0397073873023103,0.03342445,0.0173219459763615,14207.4,0.95,-0.0592656,0.152611,NA,NA,NA,NA,NA,NA,NA
"zbeta[10]",0.00852990469398353,0.006741115,0.00321419682045632,14452.5,0.95,-0.0867079,0.109415,NA,NA,NA,NA,NA,NA,NA
"zbeta[11]",-0.0380140183011319,-0.0322575,-0.0100485261469314,14625.5,0.95,-0.147754,0.0539392,NA,NA,NA,NA,NA,NA,NA
"zbeta[12]",-0.105716529803474,-0.10277,-0.0936253789488884,13947.5,0.95,-0.233493,0.0188672,NA,NA,NA,NA,NA,NA,NA
"zbeta[13]",-0.01389027306896,-0.01139485,-0.00722696404524123,13180.2,0.95,-0.118656,0.0798684,NA,NA,NA,NA,NA,NA,NA
"zbeta[14]",0.0057078721485,0.004603985,0.00221501887639958,14390.2,0.95,-0.0944443,0.107432,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.401329022733333,0.399249,0.395015112931425,12018.3,0.95,0.293966,0.519124,NA,NA,NA,NA,NA,NA,NA
"nu",33.909149554,25.0988,10.5428144690642,9610.2,0.95,1.40487,91.8086,NA,NA,NA,NA,NA,NA,NA
"sigmaBeta",0.0677977552473333,0.0611293,0.0519764331350295,9877.5,0.95,0.0129787,0.13639,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.37347938261917,1.39965295437211,1.48954044609995,11341.1,0.95,0.616963623851749,2.08622809843704,NA,NA,NA,NA,NA,NA,NA
