"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99741254068789,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",991.438903733333,991.271,991.245768042475,13907.5,0.95,947.003,1036.92,NA,NA,NA,NA,NA,NA,NA
"beta[1]",12.8364602246933,12.87195,13.5047365639997,13134.3,0.95,4.13354,21.5051,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.87726604933333,-2.8781,-2.88759528098313,13097.5,0.95,-3.30829,-2.42162,NA,NA,NA,NA,NA,NA,NA
"sigma",31.5261173133333,31.33185,30.8964678362702,13889.1,0.95,24.1827,39.5006,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.000980052296802667,-0.000976489,0.00974644070227088,15000,0.95,-0.1204,0.12594,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.2338075571886,0.2344545,0.245979888836033,13134.3,0.95,0.0752896,0.391702,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-1.0291635882,-1.02946,-1.03285810613052,13097.5,0.95,-1.18333,-0.866184,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.4213563504,0.41876,0.412941460297273,13889.1,0.95,0.32321,0.527937,NA,NA,NA,NA,NA,NA,NA
"nu",34.328336278,25.0236,10.7244936682754,10914.8,0.95,2.11032,95.4114,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.38157633548699,1.39834978802505,1.48373152052255,12277.7,0.95,0.654417214913714,2.09456196110945,NA,NA,NA,NA,NA,NA,NA
