"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2p[1,1] Blue Black",0.0347950184666667,0.0342566,0.032898165787027,12000,0.95,0.021414,0.0499183,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,1] Brown Black",0.112272090466667,0.1118935,0.109881742721798,12000,0.95,0.0886316,0.138685,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,1] Green Black",0.0104270372225,0.00991749,0.00861326453986956,10940.9,0.95,0.00349037,0.0182132,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,1] Hazel Black",0.0255330214725,0.0249136,0.0237155023606282,12000,0.95,0.0137234,0.0379799,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,2] Blue Blond",0.156092229,0.155642,0.154678713278821,12000,0.95,0.126901,0.185439,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,2] Brown Blond",0.014861440645,0.0143079,0.0136832677017387,8169.1,0.95,0.00595566,0.0244549,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,2] Green Blond",0.0265371573125,0.02594065,0.0249360618218004,11601.7,0.95,0.0145506,0.0393598,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,2] Hazel Blond",0.0180188460041667,0.0174934,0.0167623380344978,11645.1,0.95,0.00852937,0.0285676,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,3] Blue Brown",0.141637594033333,0.14128,0.141150062498371,12000,0.95,0.114081,0.169876,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,3] Brown Brown",0.1993864995,0.199022,0.198279040420901,12330.8,0.95,0.168639,0.232011,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,3] Green Brown",0.0492944184333333,0.0487166,0.0477443697266409,12000,0.95,0.032574,0.0663,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,3] Hazel Brown",0.0904739316666667,0.08996045,0.0891809382702471,12000,0.95,0.068479,0.113576,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[1,4] Blue Red",0.0299407226625,0.02942825,0.0290244489395156,11360.8,0.95,0.0170346,0.0429929,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[2,4] Brown Red",0.043792597275,0.04341155,0.0440094845391946,12337.6,0.95,0.0286915,0.0603241,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[3,4] Green Red",0.0232000922283333,0.02266145,0.0213981878273038,12000,0.95,0.0120731,0.0352059,NA,NA,NA,NA,NA,NA,NA
"ppx1x2p[4,4] Hazel Red",0.0237373003625,0.02316015,0.0223605854864845,12322.3,0.95,0.012591,0.0358041,NA,NA,NA,NA,NA,NA,NA
"ppx1p[1]",0.362465566833333,0.3624655,0.364743128450152,11662.7,0.95,0.323977,0.401177,NA,NA,NA,NA,NA,NA,NA
"ppx1p[2]",0.37031263075,0.3700865,0.367637900003099,12000,0.95,0.331774,0.408019,NA,NA,NA,NA,NA,NA,NA
"ppx1p[3]",0.109458705883333,0.1090745,0.10825041537415,10694.5,0.95,0.0841144,0.134242,NA,NA,NA,NA,NA,NA,NA
"ppx1p[4]",0.15776309925,0.15741,0.157767186224873,11664.8,0.95,0.127922,0.186008,NA,NA,NA,NA,NA,NA,NA
"ppx2p[1]",0.183027162583333,0.1825805,0.180503439946696,12287.2,0.95,0.153448,0.214699,NA,NA,NA,NA,NA,NA,NA
"ppx2p[2]",0.215509673,0.215153,0.215063690297161,12000,0.95,0.182482,0.247988,NA,NA,NA,NA,NA,NA,NA
"ppx2p[3]",0.480792444416667,0.4808555,0.481721789965632,12487.1,0.95,0.440354,0.520626,NA,NA,NA,NA,NA,NA,NA
"ppx2p[4]",0.120670711225,0.1201575,0.118311881950256,12000,0.95,0.0954391,0.146721,NA,NA,NA,NA,NA,NA,NA
"b0",3.19390281416667,3.194505,3.18795430369319,10930.5,0.95,3.0713,3.31035,NA,NA,NA,NA,NA,NA,NA
"b1[1] Blue",0.504258753333333,0.504885,0.502738353443281,12000,0.95,0.338497,0.677315,NA,NA,NA,NA,NA,NA,NA
"b1[2] Brown",0.3836465238925,0.384281,0.384435763376486,8994.2,0.95,0.20521,0.573504,NA,NA,NA,NA,NA,NA,NA
"b1[3] Green",-0.590869563416667,-0.5879945,-0.583872345854896,10475.6,0.95,-0.81885,-0.362661,NA,NA,NA,NA,NA,NA,NA
"b1[4] Hazel",-0.297035717659417,-0.296246,-0.300689304250838,12000,0.95,-0.501301,-0.0866246,NA,NA,NA,NA,NA,NA,NA
"b2[1] Black",-0.288629490265833,-0.2857285,-0.285650318717514,11311.7,0.95,-0.515738,-0.0814272,NA,NA,NA,NA,NA,NA,NA
"b2[2] Blond",-0.27253002339175,-0.2698575,-0.233812121979873,10588.4,0.95,-0.487683,-0.0567103,NA,NA,NA,NA,NA,NA,NA
"b2[3] Brown",0.935464171416667,0.934632,0.930303781804556,10063.7,0.95,0.791396,1.09147,NA,NA,NA,NA,NA,NA,NA
"b2[4] Red",-0.374304633826667,-0.3737875,-0.380411468667791,12000,0.95,-0.570702,-0.165039,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,1] Blue Black",-0.408100434420083,-0.406788,-0.401619549273709,12000,0.95,-0.726865,-0.0884657,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,1] Brown Black",0.900147589583333,0.898081,0.894410242724011,10601.6,0.95,0.60854,1.19223,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,1] Green Black",-0.567837582783333,-0.5557725,-0.520980523730456,11315,0.95,-1.06149,-0.110581,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,1] Hazel Black",0.075790414114125,0.07735635,0.0923072887125197,12000,0.95,-0.288471,0.428069,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,2] Blue Blond",1.09485722266667,1.09355,1.09586618346695,9204.9,0.95,0.826817,1.3716,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,2] Brown Blond",-1.186848636,-1.17659,-1.12556425093602,8666.4,0.95,-1.61651,-0.776744,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,2] Green Blond",0.393384939458917,0.392355,0.414644032774168,11618.9,0.95,0.0145519,0.764181,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,2] Hazel Blond",-0.301393549747939,-0.295793,-0.283639904034936,12000,0.95,-0.677693,0.0993384,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,3] Blue Brown",-0.210787725592167,-0.211205,-0.207323665014738,12000,0.95,-0.4366,0.00320834,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,3] Brown Brown",0.253584843278642,0.251598,0.24658441614313,10659.2,0.95,0.0298993,0.475259,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,3] Green Brown",-0.181951339704858,-0.182859,-0.189061068999925,12000,0.95,-0.475774,0.116754,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,3] Hazel Brown",0.139154224792042,0.138279,0.140409317800914,12000,0.95,-0.11537,0.404126,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,4] Blue Red",-0.475969086009167,-0.4741305,-0.460362353273915,10670.3,0.95,-0.807859,-0.155441,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,4] Brown Red",0.0331161927571667,0.03386535,0.0506289651053737,12000,0.95,-0.282258,0.336263,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,4] Green Red",0.356403980640883,0.360098,0.379054265252049,12000,0.95,-0.0108716,0.736457,NA,NA,NA,NA,NA,NA,NA
"b1b2[4,4] Hazel Red",0.0864489108949792,0.0888314,0.0890134200952376,12000,0.95,-0.270587,0.440136,NA,NA,NA,NA,NA,NA,NA
"m[1,1] Blue Black",3.00143164166667,3.00866,3.01437424050061,12000,0.95,2.57649,3.4215,NA,NA,NA,NA,NA,NA,NA
"m[2,1] Brown Black",4.189067415,4.19198,4.19286236730828,12000,0.95,3.94947,4.42728,NA,NA,NA,NA,NA,NA,NA
"m[3,1] Green Black",1.746566195275,1.770735,1.82635566263047,10777.1,0.95,0.976089,2.5045,NA,NA,NA,NA,NA,NA,NA
"m[4,1] Hazel Black",2.68402802333333,2.688875,2.66449146821392,12000,0.95,2.18913,3.17235,NA,NA,NA,NA,NA,NA,NA
"m[1,2] Blue Blond",4.52048873333333,4.52246,4.5388618235169,12000,0.95,4.31436,4.7274,NA,NA,NA,NA,NA,NA,NA
"m[2,2] Brown Blond",2.11817064641667,2.135365,2.13672411885321,7949.8,0.95,1.4725,2.80211,NA,NA,NA,NA,NA,NA,NA
"m[3,2] Green Blond",2.72388815666667,2.732135,2.75167694553465,11636.1,0.95,2.22285,3.19126,NA,NA,NA,NA,NA,NA,NA
"m[4,2] Hazel Blond",2.3229435175,2.33444,2.34352635278935,11687.4,0.95,1.74522,2.91633,NA,NA,NA,NA,NA,NA,NA
"m[1,3] Blue Brown",4.42283802666667,4.425495,4.43036975379567,12000,0.95,4.2021,4.62917,NA,NA,NA,NA,NA,NA,NA
"m[2,3] Brown Brown",4.76659829166667,4.768225,4.7698057324711,11820.9,0.95,4.59202,4.94756,NA,NA,NA,NA,NA,NA,NA
"m[3,3] Green Brown",3.35654603583333,3.3605,3.3539123959932,12000,0.95,2.99458,3.70945,NA,NA,NA,NA,NA,NA,NA
"m[4,3] Hazel Brown",3.97148545666667,3.974485,3.98602884330695,12000,0.95,3.70196,4.23256,NA,NA,NA,NA,NA,NA,NA
"m[1,4] Blue Red",2.84788786166667,2.855165,2.85557890465635,12000,0.95,2.37759,3.28541,NA,NA,NA,NA,NA,NA,NA
"m[2,4] Brown Red",3.2363608875,3.24333,3.26632073990711,12000,0.95,2.86209,3.61097,NA,NA,NA,NA,NA,NA,NA
"m[3,4] Green Red",2.585132565,2.59696,2.62891353422172,12000,0.95,2.04927,3.08893,NA,NA,NA,NA,NA,NA,NA
"m[4,4] Hazel Red",2.60901139,2.61809,2.63733753819022,12000,0.95,2.09679,3.11255,NA,NA,NA,NA,NA,NA,NA
"a1SD",1.23825676954917,0.865765,0.546325565726736,332.9,0.95,0.0109346,3.49153,NA,NA,NA,NA,NA,NA,NA
"a2SD",1.28459902724167,0.942009,0.60766456281557,241.2,0.95,0.0110376,3.5038,NA,NA,NA,NA,NA,NA,NA
"a1a2SD",0.877203617333333,0.8393435,0.744545043870974,3125.6,0.95,0.468368,1.36046,NA,NA,NA,NA,NA,NA,NA
"Green.v.Hazel",-0.29383384575725,-0.2926825,-0.302794162950267,11495.2,0.95,-0.660264,0.085079,0,6.03333333333333,-0.1,0.1,84.5666666666667,13.6083333333333,1.825
"Blue.v.Green",1.09512831675,1.092181,1.08626086590882,10558.9,0.95,0.768976,1.436804,0,100,-0.1,0.1,0,0,100
"Black.v.Blond",-0.0160994668740833,-0.0148315,0.0171816022471221,10976.2,0.95,-0.376942,0.3568074,0,47.0166666666667,-0.1,0.1,32.4,40.7833333333333,26.8166666666667
"Brown.v.Red",1.30976880524333,1.3101475,1.33286951626404,12000,0.95,1.025472,1.575906,0,100,-0.1,0.1,0,0,100
"Blue.v.Brown.x.Black.v.Blond",-3.58995388267008,-3.5821362,-3.59271808180051,8306.5,0.95,-4.449886,-2.742128,0,0,-0.1,0.1,100,0,0
