"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-47.1324643948753,-43.1721,-29.910755696762,16416.7,0.95,-189.542,83.1223,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",28.7971473191175,21.7598,3.64899059380923,12121.1,0.95,-86.6899,159.871,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-17.0137804923314,-23.6512,-44.9696858012621,9276,0.95,-140.553,122.729,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",-37.7561365965011,-35.602,-34.8872616671055,17185.5,0.95,-210.397,122.504,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",-57.0944361065487,-59.948,-58.7142869803391,16244.6,0.95,-181.183,74.6548,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",-191.575061158132,-181.929,-147.064663342836,8079.7,0.95,-365.132,-40.1412,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",-57.1591804294885,-57.0521,-62.6623196162076,17879.1,0.95,-210.816,100.059,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",-86.2920951426129,-81.0513,-71.4071270172268,13319.8,0.95,-220.358,31.8532,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",-63.5015990120819,-64.7858,-69.0808809618794,17125,0.95,-191.023,63.9552,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",-43.726205069894,-49.6875,-73.2552751475881,10933.1,0.95,-160.403,86.0381,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",-49.7063689323514,-43.5756,-38.9059553784644,16494.2,0.95,-209.946,98.7293,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",-75.1759521465802,-73.1098,-66.0164925023308,16010.7,0.95,-228.145,64.344,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",-24.3048344096035,-20.5403,-13.1113718694996,16632.9,0.95,-164.418,102.82,NA,NA,NA,NA,NA,NA,NA
