"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",127091.517866667,127089.5,126998.435863593,12727.8,0.95,124797,129426,NA,NA,NA,NA,NA,NA,NA
"b1[1] Assis",-46350.8743466667,-46361.85,-46577.3722746127,13449.6,0.95,-49438.5,-43250.5,NA,NA,NA,NA,NA,NA,NA
"b1[2] Assoc",-33068.4036,-33076.45,-33268.5829912406,13197.5,0.95,-35964.2,-30261.7,NA,NA,NA,NA,NA,NA,NA
"b1[3] Full",-3141.1405538196,-3136.655,-3002.57803094847,13081.3,0.95,-6066.41,-238.553,NA,NA,NA,NA,NA,NA,NA
"b1[4] Endow",26991.8246466667,26982.3,26589.6475795007,13181,0.95,22279.2,31509.1,NA,NA,NA,NA,NA,NA,NA
"b1[5] Disting",55568.5935466667,55551.65,55437.8436573654,11377.3,0.95,48477.1,62661,NA,NA,NA,NA,NA,NA,NA
"b2[1] ACTG",82052.79794,82005.55,81589.5377339557,14594.1,0.95,72325.8,91455.3,NA,NA,NA,NA,NA,NA,NA
"b2[2] AFRO",-15110.6645579375,-15103.7,-14883.5156026323,14252.3,0.95,-31358.5,1105.41,NA,NA,NA,NA,NA,NA,NA
"b2[3] AMST",-16786.994868628,-16738.95,-16017.1482533609,15000,0.95,-33050.2,-1019.36,NA,NA,NA,NA,NA,NA,NA
"b2[4] ANTH",-19243.352757,-19230,-18859.2939173232,13126.3,0.95,-29988.8,-8786,NA,NA,NA,NA,NA,NA,NA
"b2[5] APHS",3027.73397216107,3016.815,3213.29669806859,13886.5,0.95,-7649.85,13800.2,NA,NA,NA,NA,NA,NA,NA
"b2[6] AST",176.810722595333,120.8825,-223.759113738994,15000,0.95,-14143.1,13735.6,NA,NA,NA,NA,NA,NA,NA
"b2[7] BEPP",49026.2459533333,49021.25,48848.5061349514,15000,0.95,35537.8,62683.7,NA,NA,NA,NA,NA,NA,NA
"b2[8] BFIN",109286.76966,109255,108368.868715997,13804.6,0.95,99833.6,118167,NA,NA,NA,NA,NA,NA,NA
"b2[9] BI",-3471.67341956667,-3487.465,-3841.23313022346,13687.7,0.95,-9686.88,3117.55,NA,NA,NA,NA,NA,NA,NA
"b2[10] BLAN",18082.1193018267,18140.4,18136.5604623516,15000,0.95,4392.5,32199.9,NA,NA,NA,NA,NA,NA,NA
"b2[11] CEDP",-16348.3099043733,-16392.6,-16713.1864467617,12453.1,0.95,-26160.5,-6758.26,NA,NA,NA,NA,NA,NA,NA
"b2[12] CEUS",-21443.5572180667,-21433.65,-22054.0831077213,14330.1,0.95,-33897.1,-9506.85,NA,NA,NA,NA,NA,NA,NA
"b2[13] CHEM",19182.1770746667,19196.7,19617.6340697404,15000,0.95,12736.6,25636.5,NA,NA,NA,NA,NA,NA,NA
"b2[14] CMCL",-16188.4109879133,-16235.1,-16863.9553793837,13150,0.95,-27486.7,-4088.24,NA,NA,NA,NA,NA,NA,NA
"b2[15] CMLT",-21570.8535555333,-21606.55,-21841.3517503899,15600.5,0.95,-35924.6,-7912.99,NA,NA,NA,NA,NA,NA,NA
"b2[16] CRIN",-22774.4489106667,-22767.75,-22994.6772838826,14540.7,0.95,-31580.5,-13948.9,NA,NA,NA,NA,NA,NA,NA
"b2[17] CSCI",12880.8105793,12872.55,13336.3803084232,12304.4,0.95,3593.91,22213.2,NA,NA,NA,NA,NA,NA,NA
"b2[18] EALC",-17889.4797583553,-17881.5,-17222.7467449654,14209.8,0.95,-29309.3,-6169.71,NA,NA,NA,NA,NA,NA,NA
"b2[19] ECON",56786.1594933333,56806.6,56563.5537127153,12708.3,0.95,46619.9,66414.4,NA,NA,NA,NA,NA,NA,NA
"b2[20] ELPS",-5972.81042566687,-5926.05,-5609.79504197021,13701.9,0.95,-17465.8,5172.64,NA,NA,NA,NA,NA,NA,NA
"b2[21] ENG",-19353.7193926667,-19352.05,-19219.5576825721,12490,0.95,-27085.5,-11495,NA,NA,NA,NA,NA,NA,NA
"b2[22] FINH",-21838.3274729733,-21866.5,-21297.8955814747,15000,0.95,-35831.9,-8413.83,NA,NA,NA,NA,NA,NA,NA
"b2[23] FINS",-18903.9528460567,-18873.1,-17112.0868817967,12664,0.95,-33423.5,-4182.59,NA,NA,NA,NA,NA,NA,NA
"b2[24] FOLK",-22318.6727947333,-22313.5,-22100.9411664443,15000,0.95,-34179.5,-10537.5,NA,NA,NA,NA,NA,NA,NA
"b2[25] FRIT",-13669.8763816333,-13605.95,-12991.6953553059,15449.8,0.95,-24974.1,-1744.41,NA,NA,NA,NA,NA,NA,NA
"b2[26] GEOG",-8543.14749030067,-8501.165,-8063.29190415604,15513.2,0.95,-22749.2,5859.1,NA,NA,NA,NA,NA,NA,NA
"b2[27] GEOL",-14114.1129654867,-14155.3,-14460.0841141934,13735.1,0.95,-24551.9,-3945.95,NA,NA,NA,NA,NA,NA,NA
"b2[28] GERM",-30697.8414746667,-30668,-30853.1665024814,13831.5,0.95,-46417.5,-15871.5,NA,NA,NA,NA,NA,NA,NA
"b2[29] HIST",-12414.84926926,-12360.35,-12203.3551266982,13967.9,0.95,-19980.3,-4420.78,NA,NA,NA,NA,NA,NA,NA
"b2[30] INFO",9491.20057807207,9538.95,9795.28619203371,13761.7,0.95,-704.679,18775,NA,NA,NA,NA,NA,NA,NA
"b2[31] JOUR",-14741.4156907287,-14721.45,-14422.9347457812,13958.5,0.95,-26081.8,-3275.91,NA,NA,NA,NA,NA,NA,NA
"b2[32] KINE",-6948.31979049333,-6997.435,-7498.82712857292,15508.9,0.95,-18536.5,4203.6,NA,NA,NA,NA,NA,NA,NA
"b2[33] LAWS",40186.5059533333,40225.25,40687.9114722744,12470.7,0.95,31677.6,48771.7,NA,NA,NA,NA,NA,NA,NA
