"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",123223.801066667,123265,123649.397394047,2599.7,0.95,120064,126266,NA,NA,NA,NA,NA,NA,NA
"b1[1] Assis",-41826.9687666667,-41873.05,-42322.4315171407,2286.9,0.95,-44992.3,-38669.3,NA,NA,NA,NA,NA,NA,NA
"b1[2] Assoc",-29476.9967133333,-29498.3,-29497.1680345918,2249.6,0.95,-32746.1,-26238,NA,NA,NA,NA,NA,NA,NA
"b1[3] Full",-1824.82987331876,-1850.395,-1806.18197531601,2689.3,0.95,-5452.86,1885.47,NA,NA,NA,NA,NA,NA,NA
"b1[4] Endow",22933.8836333333,22866.1,22373.1895539621,2585.5,0.95,17636.5,28654.2,NA,NA,NA,NA,NA,NA,NA
"b1[5] Disting",50194.9125266667,50349.75,50771.2161498397,2213,0.95,38862.6,61533,NA,NA,NA,NA,NA,NA,NA
"b2[1] ACTG",96712.2768533333,96934.2,97516.9131835109,2582.6,0.95,88746.3,104306,NA,NA,NA,NA,NA,NA,NA
"b2[2] AFRO",-13434.473979824,-13455.95,-13796.029733842,13036.5,0.95,-24805.4,-2466.76,NA,NA,NA,NA,NA,NA,NA
"b2[3] AMST",-17949.3859350667,-17967.95,-17963.1557899199,1892.2,0.95,-24174.2,-10654.4,NA,NA,NA,NA,NA,NA,NA
"b2[4] ANTH",-19556.8125986667,-19540.85,-19364.3542479808,4007.4,0.95,-26766.7,-12437.4,NA,NA,NA,NA,NA,NA,NA
"b2[5] APHS",-3505.862699904,-3581.27,-3739.25043166096,1967.7,0.95,-9467.7,2858.67,NA,NA,NA,NA,NA,NA,NA
"b2[6] AST",-11775.826796144,-12042.55,-12212.2715499012,2231.5,0.95,-20733.3,-2890.82,NA,NA,NA,NA,NA,NA,NA
"b2[7] BEPP",48198.76238,48394.4,47896.4450591084,14.2,0.95,38766.3,57390.4,NA,NA,NA,NA,NA,NA,NA
"b2[8] BFIN",116207.518966667,116301.5,116953.970841534,8457.8,0.95,108564,124394,NA,NA,NA,NA,NA,NA,NA
