"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mSxW[1,1] 1 Broad",118.8408905,118.87,119.218468410821,12000,0.95,111.958,125.666,NA,NA,NA,NA,NA,NA,NA
"mSxW[2,1] 2 Broad",132.701778083333,132.677,132.870739421697,12000,0.95,125.916,139.526,NA,NA,NA,NA,NA,NA,NA
"mSxW[3,1] 3 Broad",136.067737416667,136.129,136.492235443411,12000,0.95,129.269,143.035,NA,NA,NA,NA,NA,NA,NA
"mSxW[4,1] 4 Broad",124.105666,124.1005,124.010095517202,12000,0.95,117.193,130.84,NA,NA,NA,NA,NA,NA,NA
"mSxW[5,1] 5 Broad",134.229789583333,134.2535,134.365926218846,12000,0.95,127.513,141.061,NA,NA,NA,NA,NA,NA,NA
"mSxW[6,1] 6 Broad",118.224321666667,118.2085,117.44392130317,12000,0.95,111.425,124.945,NA,NA,NA,NA,NA,NA,NA
"mSxW[7,1] 7 Broad",112.00933765,112.04,112.406354863388,12000,0.95,104.915,118.506,NA,NA,NA,NA,NA,NA,NA
"mSxW[8,1] 8 Broad",109.986074,109.9275,109.581339434113,12000,0.95,103.109,116.721,NA,NA,NA,NA,NA,NA,NA
"mSxW[9,1] 9 Broad",119.137372583333,119.106,118.885908005885,12000,0.95,112.34,125.904,NA,NA,NA,NA,NA,NA,NA
"mSxW[10,1] 10 Broad",134.862080583333,134.8565,134.545473302889,12000,0.95,127.977,141.536,NA,NA,NA,NA,NA,NA,NA
"mSxW[11,1] 11 Broad",132.693598916667,132.7065,132.464128309013,12000,0.95,126.004,139.623,NA,NA,NA,NA,NA,NA,NA
"mSxW[12,1] 12 Broad",117.6225635,117.617,117.624028664448,12000,0.95,110.907,124.586,NA,NA,NA,NA,NA,NA,NA
"mSxW[13,1] 13 Broad",144.284793083333,144.267,144.009178337957,12000,0.95,137.832,151.506,NA,NA,NA,NA,NA,NA,NA
"mSxW[14,1] 14 Broad",148.58099575,148.5875,148.677206520602,12000,0.95,141.458,155.218,NA,NA,NA,NA,NA,NA,NA
"mSxW[15,1] 15 Broad",131.423498916667,131.402,131.531434972615,12000,0.95,124.625,138.309,NA,NA,NA,NA,NA,NA,NA
"mSxW[16,1] 16 Broad",160.234395666667,160.2855,160.435857410157,12000,0.95,153.361,167.36,NA,NA,NA,NA,NA,NA,NA
"mSxW[17,1] 17 Broad",138.170623666667,138.186,138.657050077589,12000,0.95,131.425,145.215,NA,NA,NA,NA,NA,NA,NA
"mSxW[18,1] 18 Broad",131.093886166667,131.094,131.229596559071,10471.1,0.95,124.57,138.21,NA,NA,NA,NA,NA,NA,NA
"mSxW[19,1] 19 Broad",140.009394416667,140.0155,139.992654187952,12000,0.95,133.269,146.939,NA,NA,NA,NA,NA,NA,NA
"mSxW[20,1] 20 Broad",147.68514025,147.6975,147.763907191022,12095.8,0.95,140.854,154.657,NA,NA,NA,NA,NA,NA,NA
"mSxW[21,1] 21 Broad",127.4310435,127.3835,127.062722408379,12000,0.95,120.869,134.584,NA,NA,NA,NA,NA,NA,NA
"mSxW[22,1] 22 Broad",136.614180416667,136.6,136.673569896509,12000,0.95,129.833,143.511,NA,NA,NA,NA,NA,NA,NA
"mSxW[23,1] 23 Broad",118.838471166667,118.8245,119.185089376584,12000,0.95,111.702,125.593,NA,NA,NA,NA,NA,NA,NA
