Taxon,Spec. #,Age,Mass,Taxon1
Gorgosaurus,FMNH PR2211,5,127,3
Gorgosaurus,RTMP 86.144.1,7,229,3
Gorgosaurus,RTMP 99.33.1,14,607,3
Gorgosaurus,RTMP 73.30.1,14,747,3
Gorgosaurus,RTMP 94.12.602,18,1105,3
Albertosaurus,RTMP 2002.45.46,2,50.3,1
Albertosaurus,RTMP 86.64.01,15,762,1
Albertosaurus,USNM 12814/AMNH 5428,18,1013,1
Albertosaurus,AMNH 5432,22,1282,1
Albertosaurus,RTMP 81.10.1,24,1142,1
Daspletosaurus,RTMP 94.143.1,10,496,2
Daspletosaurus,AMNH 5438,17,1518,2
Daspletosaurus,FMNH PR 308,21,1791,2
Tyrannosaurus,LACM 28471,2,29.9,4
Tyrannosaurus,AMNH 30564,15,1761,4
Tyrannosaurus,LACM 23845,14,1807,4
Tyrannosaurus,ICM 2001.90.1,16,2984,4
Tyrannosaurus,RTMP 81.6.1,18,3230,4
Tyrannosaurus,RTMP 81.12.1,22,5040,4
Tyrannosaurus,FMNH PR 2081,28,5654,4
