"obs","Linear_Regression","lmTune0","ridgeTune","Enet","PLS","PCR"
"1",2.91,3.20968841969754,3.20968841969754,3.20968841969754,3.27640737995341,3.41626078411766,3.65917877860239
"2",3.38,3.28851314883962,3.28851314883962,3.28851314883962,3.34822571133937,3.50960868909253,3.66550412609195
"3",3.61,3.64132839788103,3.64132839788103,3.64132839788103,3.63549903688321,3.54144084326533,3.65921974119164
"4",3.96,3.68387386198293,3.68387386198293,3.68387386198293,3.68337792447386,3.69475530410903,3.67185951281363
"5",3.36,3.20636261924407,3.20636261924407,3.20636261924407,3.29236700915029,3.62676002173801,3.67813206407706
"6",3.71,3.66468986295255,3.66468986295255,3.66468986295255,3.66741829527698,3.68919174592469,3.67185769225411
"7",3.5,3.7564323920633,3.7564323920633,3.75643239206329,3.7312568120645,3.57482219237138,3.65923066454877
"8",4.18,3.8757138522867,3.8757138522867,3.8757138522867,3.84297421644266,3.75039088595244,3.67187771840885
"9",3.6,3.63591386440699,3.63591386440699,3.63591386440699,3.64347885148165,3.68084640864818,3.67185496141483
"10",3.41,3.36942661100228,3.36942661100228,3.36942661100227,3.42802385732377,3.67405026630491,3.67814753883299
"11",3.4,3.40779460906303,3.40779460906303,3.40779460906303,3.45994311571753,3.68517738267359,3.67815117995204
"12",3.98,4.04419237751896,4.04419237751896,4.04419237751895,3.9706512500177,3.6582755651365,3.6592579729416
