"obs","NNet","MARS","SVMr","SVMp","RF","CUBIST"
"1",2.91,3.20889667479073,3.45552013455634,3.46068332726718,3.34582652040537,3.12484233333335,3.18485355377197
"2",3.38,3.28670393142446,3.45552013455634,3.45755957240463,3.37938377308839,3.389061,3.31923913955688
"3",3.61,3.64309000416966,3.56258512448417,3.68595576589207,3.71060605474237,3.74610600000001,3.71936821937561
"4",3.96,3.68272572978978,3.63396178443606,3.77691974358707,3.68044601761856,3.76702883333334,3.72212219238281
"5",3.36,3.20157637031015,3.45552013455634,3.42326938159851,3.24384298160055,3.12294000000002,3.20129203796387
"6",3.71,3.66368611936239,3.61016956445209,3.76290029464356,3.66423359387025,3.78208983333335,3.71384191513062
"7",3.5,3.75688451308962,3.70533844438795,3.73105883158731,3.80788059723224,3.69593483333333,3.7698962688446
"8",4.18,3.86997152614305,3.87188398427568,3.74535445943234,3.84257025510167,3.80599,3.82984519004822
"9",3.6,3.63504337064798,3.57448123447615,3.73692167858291,3.63991495824778,3.77165033333335,3.70485949516296
"10",3.41,3.36560504941969,3.45552013455634,3.38918162247666,3.3816485834612,3.40883383333333,3.38619542121887
"11",3.4,3.40434357370523,3.45552013455634,3.40865497408372,3.41407343095782,3.43318083333333,3.39591407775879
"12",3.98,4.0305772079947,4.06222174414739,3.62649658018664,4.05106695345692,4.03437383333336,3.99409985542297
