month,height
65,110.6
60,103.2
70,112.5
71,106.8
73,109.7
61,111.1
66,105.8
69,109.5
63,109.2
69,107
57,105.6
53,102
64,105.2
65,105.1
74,100.1
64,110.2
66,100.5
64,107.6
69,104.6
65,110.3
64,106.6
60,106.9
64,108.7
58,100.7
65,100.6
59,103.4
69,108.2
60,105
63,108.2
60,105.5
63,109
50,100
59,99.7
61,107.5
59,99.3
57,105.7
57,100.5
61,102.5
65,110.5
65,116.2
65,106.8
68,104.2
64,111.5
60,109.3
65,109.3
66,107.5
66,109.2
66,109.4
60,101.7
50,105.7
74,112.1
74,118.6
63,109.6
73,115
64,106.8
70,112.2
66,108.8
76,119.1
76,112.6
66,109.5
68,109
62,103.5
65,115.8
65,109.8
73,109.5
75,114
75,117
74,113.2
64,110.8
73,118.5
65,108.8
75,115.3
71,110.8
72,116.2
73,114.3
75,116.4
77,117.5
67,119
78,112.8
73,113.6
76,119.9
74,108.2
77,120
75,125
77,120.8
64,109.2
78,120
77,120.4
66,120.5
74,120.5
66,108
68,103.7
64,109.2
54,102
80,113.8
77,122.3
